Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Boys Like Girls,['Love Drunk' 'Hero/Heroine' 'The Great Escape' 'Thunder'],4,75,2007,2009,3,3,0,0,0,False
Ludacris Featuring Nicki Minaj,['My Chick Bad'],1,20,2010,2010,1,1,0,0,0,True
Sean Kingston Featuring Nicki Minaj,['Letting Go (Dutty Love)'],1,20,2010,2011,2,2,0,0,0,True
J. Cole Featuring kiLL edward,['Friends' 'The Cut Off'],2,2,2018,2018,1,1,0,0,0,True
Club Nouveau,['Lean On Me' 'Why You Treat Me So Bad'],2,30,1987,1987,1,1,2,5,6,False
Cypress Hill,"['Insane In The Brain' 'Dr. Greenthumb' 'Boom Biddy Bye Bye'
 'Throw Your Set In The Air'
 'How I Could Just Kill A Man/The Phuncky Feel One'
 ""We Ain't Goin' Out Like That""]",6,67,1992,1998,6,7,0,0,0,False
The Lox,"[""If You Think I'm Jiggy""]",1,13,1998,1998,1,1,0,0,0,False
Brooke White,['Hold Up My Heart'],1,1,2009,2009,1,1,0,0,0,False
"Sheryl Crow, Kid Rock & Keith Urban",['Lean On Me'],1,1,2010,2010,1,1,0,0,0,False
Luis Fonsi & Demi Lovato,['Echame La Culpa'],1,19,2017,2018,2,2,0,0,0,False
Lil Peep & XXXTENTACION,['Falling Down'],1,11,2018,2018,1,1,0,0,0,False
French Montana Featuring Drake,['No Stylist' 'No Shopping'],2,31,2016,2019,3,4,0,0,0,True
Future Featuring Travis Scott,['First Off'],1,3,2019,2019,1,1,0,0,0,True
The Heights,['How Do You Talk To An Angel'],1,20,1992,1993,2,2,2,7,10,False
Bone Thugs-N-Harmony Featuring Eazy-E,['Foe Tha Love Of S'],1,14,1995,1995,1,1,0,0,0,True
Tyler Collins,"[""Never Alone (Eeyore's Lullaby)"" 'Second Chance' 'Girls Nite Out'
 ""It Doesn't Matter""]",4,35,1990,1995,3,6,0,0,3,False
BLACKstreet (Featuring Dr. Dre),['No Diggity'],1,31,1996,1997,2,2,4,12,18,True
Ludacris & Field Mob Featuring Jamie Foxx,['Georgia'],1,9,2005,2006,2,2,0,0,0,True
Justin Timberlake & Matt Morris Featuring Charlie Sexton,['Hallelujah'],1,3,2010,2010,1,1,0,0,0,True
Quavo Featuring Drake,['Flip The Switch'],1,1,2018,2018,1,1,0,0,0,True
Nancy Sinatra,"[""How Does That Grab You, Darlin'?"" 'Sugar Town' ""Lightning's Girl""
 ""Friday's Child"" 'Happy' 'Love Eyes' 'In Our Time' 'Good Time Girl'
 '100 Years' 'So Long Babe' ""These Boots Are Made For Walkin'""
 'Here We Go Again' 'Drummer Man' 'God Knows I Love You'
 'You Only Live Twice' 'Tony Rome']",16,99,1965,1969,5,5,1,9,15,False
Dickie Goodman,"['Mr. Jaws' 'Ben Crazy' 'Batman & His Grandmother' 'Kong' 'On Campus'
 ""Energy Crisis '74"" 'Mr. President' 'Luna Trip'
 'The Touchables In Brooklyn' 'The Touchables' 'Santa & The Touchables'
 'Watergrate']",12,68,1961,1977,8,17,0,2,2,False
Dr. Dre Featuring Snoop Dogg & Akon,['Kush'],1,17,2010,2011,2,2,0,0,0,True
Kristen Bell & Santino Fontana,['Love Is An Open Door'],1,4,2014,2014,1,1,0,0,0,False
Meek Mill Featuring Tory Lanez,['Litty'],1,4,2016,2016,1,1,0,0,0,True
Lin-Manuel Miranda & Ben Platt,['Found / Tonight'],1,1,2018,2018,1,1,0,0,0,False
Offset Featuring Travis Scott & 21 Savage,['Legacy'],1,1,2019,2019,1,1,0,0,0,True
Mary Wells,"['My Guy' ""Ain't It The Truth"" 'Dear Lover' 'Laughing Boy'
 'Never, Never Leave Me' ""He's A Lover"" 'Me Without You' 'The Doctor'
 ""Stop Takin' Me For Granted"" ""Can't You See (You're Losing Me)""
 'The One Who Really Loves You' 'Bye Bye Baby'
 ""I Don't Want To Take A Chance"" 'Such A Sweet Thing'
 'You Beat Me To The Punch' 'You Lost The Sweetest Boy'
 ""What's Easy For Two Is So Hard For One"" 'Your Old Stand By' 'Two Lovers'
 ""Two Wrongs Don't Make A Right"" 'Use Your Head']",21,171,1961,1968,7,8,2,7,17,False
David Ruffin,"['My Whole World Ended (The Moment You Left Me)'
 ""I've Lost Everything I've Ever Loved"" ""I'm So Glad I Fell For You""
 ""Everything's Coming Up Love"" 'Heavy Love' 'Walk Away From Love']",6,53,1969,1976,4,8,0,0,5,False
Nate Dogg Featuring Snoop Doggy Dogg,['Never Leave Me Alone'],1,19,1996,1997,2,2,0,0,0,True
Peach Union,['On My Own'],1,13,1997,1997,1,1,0,0,0,False
"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",['Hey Ma'],1,21,2002,2003,2,2,0,7,10,True
Britney Spears Featuring Madonna,['Me Against The Music'],1,13,2003,2004,2,2,0,0,0,True
Jay-Z + Alicia Keys,['Empire State Of Mind'],1,30,2009,2010,2,2,5,13,16,False
Ciara Featuring Nicki Minaj,"[""I'm Out""]",1,5,2013,2013,1,1,0,0,0,True
Floyd Cramer,"['On The Rebound' 'Chattanooga Choo Choo' 'Hot Pepper' 'San Antonio Rose'
 'Java' 'Lovesick Blues' 'Hang On' ""Let's Go"" 'Last Date'
 'Your Last Goodbye']",10,82,1960,1963,4,4,0,11,17,False
Roy Orbison And The Candy Men,"['Oh, Pretty Woman']",1,15,1964,1964,1,1,3,6,8,False
Naughty By Nature,"['Mourn You Til I Join You' 'Feel Me Flow' 'Craziest' 'Hip Hop Hooray'
 'O.P.P.' ""Everything's Gonna Be Alright"" ""It's On"" 'Written On Ya Kitten']",8,120,1991,1998,6,8,0,0,9,False
Snoop Dogg Featuring Pharrell,"[""Drop It Like It's Hot""]",1,30,2004,2005,2,2,3,14,17,True
Kid Cudi Featuring Kanye West & Common,['Make Her Say'],1,15,2009,2009,1,1,0,0,0,True
Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,['LOL :-)'],1,8,2009,2009,1,1,0,0,0,True
Pitbull Featuring T-Pain,['Hey Baby (Drop It To The Floor)'],1,31,2010,2011,2,2,0,0,3,True
Hot Chelle Rae Featuring New Boyz,['I Like It Like That'],1,20,2011,2012,2,2,0,0,0,True
"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",['Ima Boss'],1,2,2012,2012,1,1,0,0,0,True
Ray J Featuring Bobby Brackins,['I Hit It First'],1,3,2013,2013,1,1,0,0,0,True
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",['Feels'],1,18,2017,2017,1,1,0,0,0,True
JAY-Z Featuring Beyonce,['Family Feud'],1,1,2017,2017,1,1,0,0,0,True
The Rinky-Dinks,['Early In The Morning'],1,9,1958,1958,1,1,0,0,0,False
The Happenings,"['My Mammy' 'See You In September' 'I Got Rhythm' 'Go Away Little Girl'
 'Goodnight My Love' 'Breaking Up Is Hard To Do' 'Music Music Music'
 'Where Do I Go/Be-In/Hare Krishna' 'Why Do Fools Fall In Love']",9,69,1966,1969,4,4,0,6,11,False
K-Ci Hailey,"[""If You Think You're Lonely Now""]",1,16,1995,1995,1,1,0,0,0,False
DMX Featuring Sheek Of The Lox,['Get At Me Dog'],1,20,1998,1998,1,1,0,0,0,True
"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick",['Goodbye To My Homies'],1,16,1998,1998,1,1,0,0,0,True
Profyle,['Liar'],1,20,2000,2001,2,2,0,0,0,False
Chris Brown Featuring Lil Wayne & Swizz Beatz,['I Can Transform Ya'],1,19,2009,2010,2,2,0,0,0,True
Wiz Khalifa Featuring Too Short,['On My Level'],1,9,2011,2011,1,1,0,0,0,True
Tyga Featuring Lil Wayne,['Faded'],1,22,2012,2012,1,1,0,0,0,True
Auli'i Cravalho,"[""How Far I'll Go""]",1,20,2016,2017,2,2,0,0,0,False
Steve Aoki & Louis Tomlinson,['Just Hold On'],1,6,2016,2017,2,2,0,0,0,False
Linkin Park Featuring Kiiara,['Heavy'],1,19,2017,2017,1,1,0,0,0,True
Ozuna x Cardi B,['La Modelo'],1,14,2018,2018,1,1,0,0,0,False
Migos Featuring Post Malone,['Notice Me'],1,5,2018,2018,1,1,0,0,0,True
Lizzo,['Good As Hell' 'Juice' 'Truth Hurts'],3,54,2019,2019,1,1,7,20,30,False
Bryan Adams/Tina Turner,"[""It's Only Love""]",1,14,1985,1986,2,2,0,0,0,False
Whitesnake,"['Is This Love' 'Here I Go Again' 'Give Me All Your Love'
 'Fool For Your Loving' 'The Deeper The Love' 'Still Of The Night'
 ""Now You're Gone""]",7,103,1980,1990,5,11,1,11,14,False
Sweetbox,"[""Everything's Gonna Be Alright""]",1,8,1998,1998,1,1,0,0,0,False
Lil Wayne Featuring Drake & Future,['Love Me'],1,22,2013,2013,1,1,0,0,4,True
Domenico Modugno,"['Nel Blu Dipinto Di Blu (Volaré)' 'Piove (Ciao, Ciao Bambina)']",2,17,1958,1959,2,2,5,9,10,False
Supremes & Temptations,"[""I'll Try Something New"" 'The Weight']",2,12,1969,1969,1,1,0,0,0,False
Roberta Flack,"['Killing Me Softly With His Song' ""Feel Like Makin' Love"" 'Making Love'
 ""I'm The One"" 'Jesse' ""Feelin' That Glow"" 'If Ever I See You Again'
 'The First Time Ever I Saw Your Face' 'Will You Still Love Me Tomorrow']",9,112,1972,1982,6,11,12,22,26,False
Diana Ross & Lionel Richie,['Endless Love'],1,27,1981,1982,2,2,9,13,13,False
Daryl Hall,"['Dreamtime' 'Foolish Pride' 'Someone Like You' ""I'm In A Philly Mood""]",4,38,1986,1993,3,8,0,1,4,False
The Peace Choir,['Give Peace A Chance'],1,4,1991,1991,1,1,0,0,0,False
NKOTB,['If You Go Away' 'Dirty Dawg'],2,19,1992,1994,2,3,0,0,0,False
Adina Howard,['Freak Like Me' 'My Up And Down' '[Freak] And U Know It'],3,47,1995,1997,2,3,0,6,12,False
Folk Implosion,"['Natural One (From ""Kids"")']",1,20,1995,1996,2,2,0,0,0,False
Nate Dogg Featuring Warren G,['Nobody Does It Better'],1,18,1998,1998,1,1,0,0,0,True
Spose,"[""I'm Awesome""]",1,9,2010,2010,1,1,0,0,0,False
Nelly Featuring T-Pain & Akon,['Move That Body'],1,1,2010,2010,1,1,0,0,0,True
Rihanna & Kanye West & Paul McCartney,['FourFiveSeconds'],1,20,2015,2015,1,1,0,5,9,False
Justin Bieber Featuring TraviS Scott,['No Sense'],1,3,2015,2015,1,1,0,0,0,True
Drake Featuring Kanye West,['Glow'],1,2,2017,2017,1,1,0,0,0,True
Lil Baby & Gunna Featuring Lil Durk & NAV,['Off White VLONE'],1,1,2018,2018,1,1,0,0,0,True
TakeOff,['Last Memory' 'Casper'],2,3,2018,2018,1,1,0,0,0,False
The Three G's,"[""Let's Go Steady For The Summer""]",1,3,1958,1958,1,1,0,0,0,False
Ernie K-Doe,"['Mother-In-Law' 'I Cried My Last Tear' 'Te-Ta-Te-Ta-Ta' 'A Certain Girl'
 'Popeye Joe']",5,29,1961,1962,2,2,1,7,8,False
Junior M.A.F.I.A. Featuring The Notorious B.I.G.,['Get Money'],1,20,1996,1996,1,1,0,0,0,True
Sunshine Anderson,['Heard It All Before'],1,20,2001,2001,1,1,0,0,0,False
"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",['I Need A Girl (Part Two)'],1,26,2002,2002,1,1,0,9,14,True
Daniel Bedingfield,"[""If You're Not The One"" 'Gotta Get Thru This']",2,41,2002,2003,2,2,0,0,1,False
Nelly Featuring Jung Tru & King Jacob,['Errtime'],1,6,2005,2005,1,1,0,0,0,True
Fat Joe Featuring Lil Wayne,['Make It Rain'],1,24,2006,2007,2,2,0,0,0,True
Asher Roth,"['I Love College' ""G.R.I.N.D. (Get Ready It's A New Day)""
 'Lark On My Go-Kart']",3,19,2009,2010,2,2,0,0,0,False
Kelly Rowland Featuring Lil Wayne,['Motivation' 'Ice'],2,37,2011,2013,3,3,0,0,0,True
Pistol Annies,['Hell On Heels'],1,3,2011,2011,1,1,0,0,0,False
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne","['No New Friends (SFTB Remix)' ""I'm On One""]",2,42,2011,2013,2,3,0,0,1,True
ScHoolboy Q,['Numb Numb Juice' 'Man Of The Year'],2,15,2014,2019,2,6,0,0,0,False
"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",['GOSPEL'],1,1,2019,2019,1,1,0,0,0,True
Jhene Aiko Featuring Big Sean,['None Of Your Concern'],1,2,2019,2019,1,1,0,0,0,True
Idina Menzel & AURORA,['Into The Unknown'],1,4,2019,2019,1,1,0,0,0,False
Donald Fagen,"['I.g.y. (what A Beautiful World)' 'New Frontier'
 'Century\'s End (From ""Bright Lights, Big City"")']",3,25,1982,1988,3,7,0,0,0,False
Supertramp Featuring Rick Davies,['My Kind Of Lady'],1,12,1983,1983,1,1,0,0,0,True
Deniece Williams,"[""Let's Hear It For The Boy"" 'Silly' ""It's Gonna Take A Miracle""
 'Next Love' 'Free' ""I've Got The Next Dance"" ""I Can't Wait""]",7,83,1976,1988,7,13,2,7,11,False
Sponge,['Molly (Sixteen Candles)'],1,18,1995,1995,1,1,0,0,0,False
Jars Of Clay,['Flood'],1,19,1996,1996,1,1,0,0,0,False
DJ Laz Featuring Flo Rida & Casely,['Move Shake Drop'],1,5,2008,2008,1,1,0,0,0,True
Chris Brown Featuring Nicki Minaj,['Love More'],1,26,2013,2014,2,2,0,0,0,True
DJ Khaled Featuring Jay Z & Future,['I Got The Keys'],1,17,2016,2016,1,1,0,0,0,True
Florida Georgia Line Featuring Tim McGraw,['May We All'],1,20,2016,2017,2,2,0,0,0,True
Bazzi,['Mine' 'Paradise'],2,37,2018,2019,2,2,0,0,0,False
Logic Featuring Wiz Khalifa,['Indica Badu'],1,1,2018,2018,1,1,0,0,0,True
"Benny Blanco, Halsey & Khalid",['Eastside'],1,23,2018,2018,1,1,0,0,0,False
Rod Wave,['Heart On Ice'],1,6,2019,2019,1,1,0,0,0,False
Diana Ross And The Supremes & The Temptations,"[""I'm Gonna Make You Love Me""]",1,13,1968,1969,2,2,0,4,8,False
Master P Featuring Sons Of Funk,['I Got The Hook Up!'],1,20,1998,1998,1,1,0,0,0,True
"Shaggy Featuring Ricardo ""RikRok"" Ducent","[""It Wasn't Me""]",1,25,2000,2001,2,2,2,12,16,True
Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,['I Know What You Want'],1,24,2003,2003,1,1,0,5,11,True
Maroon 5 Featuring Rihanna,['If I Never See Your Face Again'],1,20,2008,2008,1,1,0,0,0,True
Snoop Dogg Featuring The-Dream,['Gangsta Luv'],1,19,2009,2010,2,2,0,0,0,True
Christopher Wilde,['Hero' 'StarStruck'],2,2,2010,2010,1,1,0,0,0,False
Lil Wayne Featuring Rick Ross,['John'],1,20,2011,2011,1,1,0,0,0,True
Blake Shelton & Dia Frampton,"[""I Won't Back Down""]",1,1,2011,2011,1,1,0,0,0,False
Tamar Braxton,"['Love And War' 'All The Way Home' ""If You Don't Wanna Love Me""]",3,27,2000,2013,3,14,0,0,0,False
Zay Hilfigerrr & Zayion McCall,['Juju On That Beat (TZ Anthem)'],1,21,2016,2017,2,2,0,2,10,False
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",['Ghostface Killers'],1,7,2017,2017,1,1,0,0,0,True
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",['Jealous' 'How Many Times'],2,16,2015,2019,2,5,0,0,0,True
The Crickets,"[""Fool's Paradise"" 'Think It Over']",2,8,1958,1958,1,1,0,0,0,False
Barry McGuire,"['Eve Of Destruction' 'Child Of Our Times'
 'Cloudy Summer Afternoon (Raindrops)']",3,22,1965,1966,2,2,1,5,7,False
Kenny Rogers Duet With Dolly Parton,['Islands In The Stream'],1,25,1983,1984,2,2,2,8,12,False
Candlebox,['Far Behind' 'You'],2,41,1994,1995,2,2,0,0,0,False
Nu Flavor,['Heaven' '3 Little Words' 'Baby Be There'],3,40,1997,2000,3,4,0,0,0,False
Sleepy Brown Featuring OutKast,"[""I Can't Wait""]",1,13,2004,2004,1,1,0,0,0,True
Shakira Featuring Lil Wayne,['Give It Up To Me'],1,11,2009,2010,2,2,0,0,0,True
will.i.am Featuring Miley Cyrus,['Fall Down'],1,1,2013,2013,1,1,0,0,0,True
Sage The Gemini Featuring IamSu!,['Gas Pedal'],1,25,2013,2014,2,2,0,0,0,True
T.I. Featuring Iggy Azalea,['No Mediocre'],1,20,2014,2014,1,1,0,0,0,True
Migos Featuring Travis Scott,['Kelly Price'],1,2,2017,2017,1,1,0,0,0,True
Nicki Minaj Featuring Eminem & Labrinth,['Majesty'],1,1,2018,2018,1,1,0,0,0,True
6ix9ine Featuring Nicki Minaj & Kanye West,['MAMA'],1,4,2018,2018,1,1,0,0,0,True
Kodak Black Featuring Juice WRLD,['MoshPit'],1,1,2018,2018,1,1,0,0,0,True
Chance The Rapper Featuring MadeinTYO & DaBaby,['Hot Shower'],1,8,2019,2019,1,1,0,0,0,True
Barbra Streisand/Donna Summer,['No More Tears (Enough Is Enough)'],1,15,1979,1980,2,2,2,4,9,False
Jan Hammer,['Miami Vice Theme'],1,22,1985,1986,2,2,1,5,7,False
Aretha Franklin & George Michael,['I Knew You Were Waiting (For Me)'],1,17,1987,1987,1,1,2,3,7,False
Lil' Kim Featuring Puff Daddy,['No Time'],1,20,1996,1997,2,2,0,0,0,True
"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",['Holla At Me'],1,4,2006,2006,1,1,0,0,0,True
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",['I Made It (Cash Money Heroes)'],1,20,2010,2010,1,1,0,0,0,True
Pitbull Featuring Chris Brown,['International Love' 'Fun'],2,41,2011,2015,3,5,0,0,0,True
Tim McGraw With Taylor Swift,"[""Highway Don't Care""]",1,20,2013,2013,1,1,0,0,0,False
Leonard Cohen,['Hallelujah'],1,1,2016,2016,1,1,0,0,0,False
6ix9ine Featuring Tory Lanez,['KIKA'],1,6,2018,2019,2,2,0,0,0,True
Joyner Lucas Featuring Logic,['Isis'],1,2,2019,2019,1,1,0,0,0,True
The Flamingos,"['I Only Have Eyes For You' 'The Boogaloo Party'
 'Nobody Loves Me Like You' 'Lovers Never Say Goodbye'
 'I Was Such A Fool (To Fall In Love With You)' 'Mio Amore' 'Kokomo'
 'Love Walked In' 'Your Other Love' 'Time Was']",10,65,1959,1966,4,8,0,0,0,False
Shirley & Lee,"['Let The Good Times Roll' 'Well-A, Well-A']",2,11,1960,1961,2,2,0,0,0,False
Paul Simon (with The Dixie Hummingbirds),['Loves Me Like A Rock'],1,16,1973,1973,1,1,0,4,7,False
Tone-Loc,['Funky Cold Medina' 'All Through The Night' 'Wild Thing'],3,50,1988,1992,4,5,0,7,11,False
Mariah Carey Featuring Jay-Z,['Heartbreaker'],1,20,1999,2000,2,2,2,7,8,True
Erick Sermon Featuring Marvin Gaye,['Music'],1,20,2001,2001,1,1,0,0,0,True
"Eminem, Dr. Dre & 50 Cent",['Encore' 'Crack A Bottle'],2,32,2004,2009,3,6,1,3,4,False
Zac Efron & Vanessa Anne Hudgens,['Gotta Go My Own Way' 'Everyday' 'You Are The Music In Me'],3,9,2007,2007,1,1,0,0,0,False
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",['Give Me Everything'],1,45,2011,2012,2,2,1,13,17,True
Austin Mahone Featuring Pitbull,['Mmm Yeah'],1,15,2014,2014,1,1,0,0,0,True
Kacey Musgraves,"['Follow Your Arrow' ""Merry Go 'round"" 'Rainbow']",3,17,2012,2019,4,8,0,0,0,False
Calvin Harris & Disciples,['How Deep Is Your Love'],1,20,2015,2015,1,1,0,0,0,False
Chance The Rapper,['I Might Need Security'],1,1,2018,2018,1,1,0,0,0,False
Kanye West Featuring Fred Hammond,['Hands On'],1,1,2019,2019,1,1,0,0,0,True
Bobby Hendricks,['Itchy Twitchy Feeling' 'Psycho'],2,18,1958,1960,2,3,0,0,0,False
Stonewall Jackson,"[""Mary Don't You Weep"" 'Igmoo (The Pride Of South Central High)'
 ""Why I'm Walkin'"" 'Waterloo']",4,28,1959,1960,2,2,0,3,6,False
Gerry And The Pacemakers,"['Ferry Cross The Mersey' ""Don't Let The Sun Catch You Crying""
 ""It's Gonna Be Alright"" 'I Like It' ""I'll Be There"" 'How Do You Do It?'
 'Girl On A Swing' 'La La La' ""I'm The One"" 'Give All Your Love To Me'
 ""You'll Never Walk Alone""]",11,87,1964,1966,3,3,0,2,12,False
The Chambers Brothers,"[""I Can't Turn You Loose"" 'Time Has Come Today' 'Wake Up']",3,24,1968,1969,2,2,0,0,0,False
Cat Mother & the All Night News Boys,"[""Good Old Rock 'N Roll""]",1,8,1969,1969,1,1,0,0,0,False
The Winstons,['Love Of The Common People' 'Color Him Father'],2,19,1969,1969,1,1,0,0,3,False
The New Seekers,"[""I'd Like To Teach The World To Sing (In Perfect Harmony)""
 'Pinball Wizard/See Me, Feel Me' 'Beg, Steal Or Borrow' 'Circles'
 'Come Softly To Me']",5,36,1971,1973,3,3,0,0,3,False
Dwight Twilley,['Girls' 'Little Bit Of Love'],2,20,1984,1984,1,1,0,0,0,False
Kris Kross,"['Jump' 'Live And Die For Hip Hop' ""I'm Real"" 'I Missed The Bus'
 ""Tonite's Tha Night"" 'Warm It Up']",6,92,1992,1996,4,5,8,12,13,False
Dionne Farris,['I Know'],1,38,1995,1995,1,1,0,3,10,False
Busta Rhymes Featuring Zhane,"[""It's A Party""]",1,13,1996,1996,1,1,0,0,0,True
Baz Luhrmann,"[""Everybody's Free (To Wear Sunscreen)""]",1,7,1999,1999,1,1,0,0,0,False
S Club 7,['Never Had A Dream Come True'],1,20,2001,2001,1,1,0,0,2,False
Eve Featuring Alicia Keys,"[""Gangsta Lovin'""]",1,22,2002,2002,1,1,0,8,12,True
Lumidee,"['Never Leave You - Uh Ooh, Uh Oooh!']",1,20,2003,2003,1,1,0,4,7,False
Elliott Yamin,"[""Movin' On"" 'Wait For You']",2,31,2007,2007,1,1,0,0,0,False
The Swell Season (Glen Hansard & Marketa Irglova),['Falling Slowly'],1,3,2008,2008,1,1,0,0,0,False
Young Jeezy Featuring Jay-Z & Andre 3000,['I Do'],1,15,2012,2012,1,1,0,0,0,True
Bebe Rexha & Florida Georgia Line,['Meant To Be'],1,51,2017,2018,2,2,0,11,19,False
Summer Walker Featuring Jhene Aiko,"[""I'll Kill You""]",1,3,2019,2019,1,1,0,0,0,True
Ed Townsend,['For Your Love' 'When I Grow Too Old To Dream'],2,8,1958,1958,1,1,0,0,0,False
The Brothers Four,"['Frogg' 'Blue Water Line' 'My Tani' 'Greenfields'
 'The Green Leaves Of Summer' 'Hootenanny Saturday Night'
 'Try To Remember']",7,53,1960,1965,5,6,0,8,9,False
The Vogues,"['My Special Angel' 'Please Mr. Sun' 'Magic Town' 'No, Not Much'
 'Moments To Remember' 'Earth Angel (Will You Be Mine)'
 ""Five O'Clock World"" 'The Land Of Milk And Honey' 'Till' 'Green Fields'
 ""That's The Tune"" ""You're The One"" 'Woman Helping Man'
 'Turn Around, Look At Me']",14,108,1965,1969,4,5,0,4,17,False
Luniz,['I Got 5 On It'],1,25,1995,1995,1,1,0,0,4,False
MC Lyte Featuring Xscape,"['Keep On, Keepin\' On (From ""Sunset Park"")']",1,20,1996,1996,1,1,0,0,1,True
"Brandy, Tamia, Gladys Knight & Chaka Khan","['Missing You (From ""Set It Off"")']",1,20,1996,1997,2,2,0,0,0,False
Garth Brooks,"[""It's Your Song"" 'More Than A Memory' 'Good Ride Cowboy'
 'Do What You Gotta Do' 'Ask Me How I Know' 'Wrapped Up In You'
 'Wild Horses']",7,82,1998,2017,9,20,0,0,0,False
No Doubt Featuring Bounty Killer,['Hey Baby'],1,20,2001,2002,2,2,0,2,7,True
Susan Boyle,['I Dreamed A Dream' 'Wild Horses'],2,2,2009,2009,1,1,0,0,0,False
Taio Cruz Featuring Flo Rida,['Hangover'],1,1,2011,2011,1,1,0,0,0,True
Tegan And Sara Featuring The Lonely Island,['Everything Is AWESOME!!!'],1,3,2014,2014,1,1,0,0,0,True
Kehlani,['Gangsta' 'Distraction' 'CRZY'],3,18,2016,2016,1,1,0,0,0,False
Drake Featuring Young Thug,['Ice Melts'],1,2,2017,2017,1,1,0,0,0,True
Future & Young Thug,['No Cap' 'All Da Smoke' 'Three'],3,3,2017,2017,1,1,0,0,0,False
Mason Ramsey,['Famous'],1,2,2018,2018,1,1,0,0,0,False
Jerry Lee Lewis And His Pumping Piano,"['High School Confidential' 'Break-Up' ""I'll Make It All Up To You""
 ""I'll Sail My Ship Alone"" ""What'd I Say""]",5,17,1958,1961,3,4,0,0,0,False
Jeanne Pruett,['Satin Sheets'],1,15,1973,1973,1,1,0,0,0,False
Chuck Brown & The Soul Searchers,"[""Bustin' Loose""]",1,12,1979,1979,1,1,0,0,0,False
Cheryl Pepsii Riley,['Thanks For My Child'],1,13,1988,1989,2,2,0,0,0,False
David Houston,['Almost Persuaded' 'Have A Little Faith' 'You Mean The World To Me'],3,24,1966,1968,3,3,0,0,0,False
Donna Allen,['Serious'],1,18,1987,1987,1,1,0,0,0,False
The Bar-Kays,"['Shake Your Rump To The Funk' 'Son Of Shaft' 'Give Everybody Some'
 'Too Hot To Stop (Pt. 1)']",4,34,1967,1977,5,11,0,0,0,False
Rosanne Cash,['Seven Year Ache'],1,20,1981,1981,1,1,0,0,0,False
Millie Jackson,"['Ask Me What You Want' 'Hurts So Good' 'My Man, A Sweet Man' 'Leftovers'
 ""If Loving You Is Wrong I Don't Want To Be Right""
 ""If You're Not Back In Love By Monday""
 'How Do You Feel The Morning After' 'I Miss You Baby']",8,67,1972,1978,6,7,0,0,0,False
The Illusion,"['Did You See Her Eyes' ""Let's Make Each Other Happy"" 'Together']",3,19,1969,1970,2,2,0,0,0,False
Unit Four plus Two,"['Concrete And Clay' ""You've Never Been In Love Like This Before""]",2,11,1965,1965,1,1,0,0,0,False
The Chartbusters,"[""She's The One"" 'Why (Doncha Be My Girl)']",2,10,1964,1964,1,1,0,0,0,False
Frank Gallop,['The Ballad Of Irving'],1,9,1966,1966,1,1,0,0,0,False
The Rubettes,['Sugar Baby Love'],1,10,1974,1974,1,1,0,0,0,False
Sammy Davis Jr.,"[""Don't Blame The Children"" 'As Long As She Needs Me' 'Lonely Is The Name'
 ""I've Gotta Be Me"" 'The Shelter Of Your Arms' 'What Kind Of Fool Am I']",6,69,1962,1969,6,8,0,0,0,False
Agnetha Faltskog,"[""Can't Shake Loose""]",1,15,1983,1983,1,1,0,0,0,False
